subj,RT,cond,type,confresponse
103,2.2863998413085938,faces,2,1
103,1.9909000396728516,faces,1,1
103,1.493499994277954,faces,2,1
103,2.167799949645996,faces,2,4
103,1.113300085067749,faces,1,1
103,0.914400041103363,faces,1,1
103,1.5116000175476074,faces,2,1
103,1.0826998949050903,faces,2,4
103,1.1273000240325928,faces,2,1
103,0.8794999718666077,faces,2,1
103,0.9009000062942505,faces,1,4
103,0.6739000082015991,faces,1,1
103,0.8079000115394592,faces,2,1
103,2.316499948501587,faces,1,4
103,0.7929999828338623,faces,1,1
103,1.61489999294281,faces,1,4
103,0.9029000401496887,faces,1,1
103,3.395900011062622,faces,1,4
103,0.7944999933242798,faces,2,1
103,1.7619000673294067,faces,1,4
103,0.9915000200271606,faces,1,4
103,0.7627999782562256,faces,1,4
103,1.9118000268936157,faces,1,1
103,0.8887999653816223,faces,2,1
103,1.301800012588501,faces,1,4
103,0.9839000105857849,faces,1,1
103,1.6526999473571777,faces,1,4
103,0.8637000322341919,faces,1,4
103,1.142199993133545,faces,2,4
103,0.8899999856948853,faces,1,1
103,0.760699987411499,faces,2,4
103,1.6985000371932983,faces,2,4
103,1.5201998949050903,faces,2,4
103,1.7513000965118408,faces,1,4
103,0.7587000131607056,faces,1,4
103,0.967799961566925,faces,1,4
103,0.9355999827384949,faces,2,4
103,1.2063000202178955,faces,2,4
103,1.091599941253662,faces,2,1
103,0.7717999815940857,faces,2,1
103,1.3350999355316162,faces,2,1
103,0.9932999610900879,faces,2,1
103,1.0986000299453735,faces,2,4
103,1.1188000440597534,faces,2,4
103,1.1873000860214233,faces,1,1
103,1.0888999700546265,faces,2,1
103,0.9108999967575073,faces,2,1
103,0.7696999907493591,faces,1,4
103,3.6500000953674316,words,1,4
103,1.0925999879837036,words,2,1
103,0.7639999985694885,words,1,4
103,0.7649999856948853,words,2,1
103,1.011099934577942,words,1,4
103,0.7419999837875366,words,2,1
103,1.2669999599456787,words,1,4
103,1.0851999521255493,words,1,1
103,2.621799945831299,words,1,4
103,1.2769999504089355,words,1,1
103,0.6942999958992004,words,1,4
103,0.9165999889373779,words,2,4
103,0.7710999846458435,words,2,4
103,0.6710999608039856,words,2,1
103,1.2309000492095947,words,1,4
103,0.7279000282287598,words,1,4
103,1.128499984741211,words,2,1
103,0.6504999995231628,words,2,1
103,1.1136000156402588,words,2,1
103,0.43629997968673706,words,2,4
103,0.6858000159263611,words,1,4
103,0.8064000010490417,words,2,1
103,2.072399854660034,words,2,1
103,0.6062000393867493,words,2,4
103,0.42670002579689026,words,2,1
103,0.5789999961853027,words,1,4
103,0.8500999808311462,words,2,1
103,1.4204000234603882,words,1,4
103,0.44839999079704285,words,1,1
103,0.25519999861717224,words,2,99
103,1.6009999513626099,words,1,4
103,1.3833000659942627,words,2,4
103,1.2436999082565308,words,2,1
103,0.5802000164985657,words,1,4
103,0.6922000050544739,words,1,1
103,1.1611000299453735,words,2,4
103,2.3281002044677734,words,1,4
103,0.7589000463485718,words,1,1
103,0.6532000303268433,words,1,4
103,0.5151000022888184,words,1,1
103,1.0334999561309814,words,1,4
103,1.256500005722046,words,1,1
103,1.2365000247955322,words,2,1
103,0.6237000226974487,words,2,1
103,0.7465999722480774,words,2,1
103,0.538100004196167,words,2,4
103,0.6164000034332275,words,1,4
103,1.3768000602722168,words,2,4
103,3.110100030899048,faces,2,1
103,1.1370999813079834,faces,1,1
103,0.6744000315666199,faces,2,1
103,1.1080000400543213,faces,2,1
103,0.6355000138282776,faces,2,1
103,1.0494999885559082,faces,1,4
103,0.711400032043457,faces,2,1
103,1.077199935913086,faces,1,4
103,0.676099956035614,faces,2,1
103,1.2719000577926636,faces,1,1
103,1.180899977684021,faces,1,1
103,0.8222000002861023,faces,1,1
